,symbol1,symbol2
951,EGFR,GRM4
952,EGFR,SH2B3
953,EGFR,CYLD
954,EGFR,RNF126
955,EGFR,CAVIN1
956,EGFR,EPS8
957,EGFR,KRT1
958,EGFR,UBE2S
959,EGFR,TCOF1
960,EGFR,UBC
961,EGFR,NCDN
962,EGFR,L1CAM
963,EGFR,CAPN7
964,EGFR,RPL7
965,EGFR,ANXA1
966,EGFR,DHX38
967,EGFR,FER
968,EGFR,AP1B1
969,EGFR,SAMM50
970,EGFR,LRIG1
971,EGFR,PICALM
972,EGFR,ITGB4
973,EGFR,PLCG1
974,EGFR,LRRC59
975,EGFR,C11orf84
976,EGFR,CLPP
977,EGFR,UBE2G2
978,EGFR,GPATCH2
979,EGFR,SWT1
980,EGFR,ARF4
981,EGFR,BZW1
982,EGFR,RPS6KA3
983,EGFR,RUBCN
984,EGFR,MAP4K1
985,EGFR,SNX29
986,EGFR,EIF3B
987,EGFR,FUS
988,EGFR,HOOK2
989,EGFR,DCTN2
990,EGFR,POLDIP2
991,EGFR,NDFIP1
992,EGFR,ALDOA
993,EGFR,TRMT2A
994,EGFR,TPT1
995,EGFR,DOK4
996,EGFR,PSMD4
997,EGFR,FEN1
998,EGFR,CISH
999,EGFR,ATP5C1
1000,EGFR,RPS18
1001,EGFR,ARMCX5
1002,EGFR,EMD
1003,EGFR,PTPRB
1004,EGFR,GRB14
1005,EGFR,GAB1
1006,EGFR,KIAA1217
1007,EGFR,COG6
1008,EGFR,KRT10
1009,EGFR,U2AF2
1010,EGFR,TUBB4A
1011,EGFR,RGS2
1012,EGFR,SLC25A3
1013,EGFR,MAP2K1
1014,EGFR,HYOU1
1015,EGFR,RAB3A
1016,EGFR,RIOK1
1017,EGFR,LMNA
1018,EGFR,PDCD6IP
1019,EGFR,RAN
1020,EGFR,TNS3
1021,EGFR,SNX1
1022,EGFR,LSM14A
1023,EGFR,EIF4B
1024,EGFR,SAMHD1
1025,EGFR,DIXDC1
1026,EGFR,ATP1B1
1027,EGFR,SRRM2
1028,EGFR,CYTH2
1029,EGFR,RPF1
1030,EGFR,CHD6
1031,EGFR,PCNX1
1032,EGFR,ATAD3B
1033,EGFR,XPO4
1034,EGFR,IRS2
1035,EGFR,SESN2
1036,EGFR,AGO2
1037,EGFR,HSPA9
1038,EGFR,SLC39A7
1039,EGFR,AAAS
1040,EGFR,PRKCE
1041,EGFR,GCLM
1042,EGFR,APEX1
1043,EGFR,PTPRG
1044,EGFR,RPS15A
1045,EGFR,SPARCL1
1046,EGFR,ITSN2
1047,EGFR,RPS19
1048,EGFR,SNRPF
1049,EGFR,PUM1
1050,EGFR,HSD17B10
1051,EGFR,CASP7
1052,EGFR,VAPA
1053,EGFR,GSTT1
1054,EGFR,TOR1AIP1
1055,EGFR,PCNA
1056,EGFR,MET
1057,EGFR,ITK
1058,EGFR,CCDC146
1059,EGFR,ERRFI1
1060,EGFR,RRAD
1061,EGFR,TARS2
1062,EGFR,ALDH3A2
1063,EGFR,DIMT1
1064,EGFR,LINGO1
1065,EGFR,BZW2
1066,EGFR,SLC12A2
1067,EGFR,FARSA
1068,EGFR,RFC3
1069,EGFR,MAPK15
1070,EGFR,HSPA2
1071,EGFR,GOLGB1
1072,EGFR,GAPDH
1073,EGFR,SETX
1074,EGFR,DOCK4
1075,EGFR,PTPN7
1076,EGFR,CSE1L
1077,EGFR,CD59
1078,EGFR,MMS19
